R.Shift,azeite_oliva,azeite_oliva1,azeite_oliva2,oleo_canola media,oleo_canola1,oleo_canola2,oleo_girassol media,oleo_girassol1,oleo_girassol2,oleo_maria media,oleo_maria1,oleo_maria2,oleo_milho media,oleo_milho1,oleo_milho2,oleo_soja media,oleo_soja1,oleo_soja2
401.551,-0.001461817,-0.001403538,-0.001520096,-0.001466154,-0.001446389,-0.001485919,-0.00136665,-0.001426629,-0.001306671,-0.001412488,-0.001367202,-0.001457774,-0.001378272,-0.001486724,-0.001269819,-0.001369821,-0.001352055,-0.001387588
403.6,-0.001403616,-0.001378049,-0.001429182,-0.001412719,-0.001407927,-0.001417511,-0.001351919,-0.001403702,-0.001300136,-0.001409205,-0.001393976,-0.001424435,-0.00131214,-0.001316425,-0.001307856,-0.00138142,-0.001368605,-0.001394234
405.649,-0.001348664,-0.00135551,-0.001341818,-0.001356907,-0.00137395,-0.001339864,-0.001340961,-0.001375088,-0.001306833,-0.001393245,-0.001413568,-0.001372921,-0.001257435,-0.001180919,-0.00133395,-0.001387117,-0.001380001,-0.001394234
407.696,-0.001302169,-0.001336147,-0.00126819,-0.001310532,-0.00135025,-0.001270814,-0.00133586,-0.001344901,-0.001326819,-0.001375625,-0.001426086,-0.001325164,-0.001226223,-0.001104302,-0.001348144,-0.001378944,-0.001386208,-0.001371679
409.743,-0.001263875,-0.001319694,-0.001208056,-0.001273526,-0.001336759,-0.001210293,-0.001336547,-0.001313071,-0.001360022,-0.001353995,-0.001426953,-0.001281038,-0.001218448,-0.001086513,-0.001350383,-0.001358501,-0.00138704,-0.001329962
411.788,-0.001178697,-0.001242103,-0.001115292,-0.001292058,-0.001444488,-0.001139628,-0.00136884,-0.001296837,-0.001440844,-0.001303646,-0.001417198,-0.001190095,-0.001327862,-0.001245732,-0.001409992,-0.001331155,-0.001402587,-0.001259722
413.833,-0.001215293,-0.00131454,-0.001116046,-0.001232331,-0.001384445,-0.001080218,-0.001335962,-0.001265354,-0.001406571,-0.001270426,-0.001370589,-0.001170264,-0.001300668,-0.001299212,-0.001302125,-0.001289111,-0.001365818,-0.001212405
415.877,-0.001299542,-0.001405805,-0.001193278,-0.001243925,-0.001410107,-0.001077743,-0.001292862,-0.001235186,-0.001350538,-0.001303812,-0.001405263,-0.001202361,-0.00129061,-0.001308098,-0.001273122,-0.001223938,-0.001363481,-0.001084396
417.92,-0.001383005,-0.001534813,-0.001231197,-0.001160821,-0.00128793,-0.001033712,-0.001259227,-0.001114494,-0.00140396,-0.001283562,-0.001320289,-0.001246836,-0.001286945,-0.001290969,-0.00128292,-0.001217161,-0.001391912,-0.001042411
419.962,-0.001333395,-0.001403599,-0.001263191,-0.001078296,-0.001199436,-0.000957156,-0.001288409,-0.001138707,-0.001438112,-0.00123132,-0.001298213,-0.001164427,-0.001232175,-0.001143219,-0.00132113,-0.00124702,-0.001388979,-0.001105061
422.003,-0.001347661,-0.001347013,-0.001348308,-0.000997348,-0.001152434,-0.000842263,-0.001242468,-0.001141367,-0.001343568,-0.001203938,-0.00127457,-0.001133306,-0.001140607,-0.001047826,-0.001233389,-0.001299957,-0.001361201,-0.001238714
424.044,-0.001383306,-0.001396793,-0.001369819,-0.0011039,-0.001192623,-0.001015177,-0.001207646,-0.001139406,-0.001275886,-0.001175375,-0.001207835,-0.001142916,-0.001121347,-0.000978665,-0.00126403,-0.001305683,-0.001375894,-0.001235473
426.083,-0.001278852,-0.00124912,-0.001308584,-0.001159068,-0.001232976,-0.00108516,-0.001108308,-0.001078793,-0.001137822,-0.001059483,-0.001059751,-0.001059215,-0.001150155,-0.001004715,-0.001295595,-0.001326128,-0.001371551,-0.001280705
428.122,-0.001157477,-0.001101139,-0.001213815,-0.001167579,-0.001143092,-0.001192066,-0.001143413,-0.001097516,-0.001189311,-0.001019305,-0.001009665,-0.001028944,-0.001190265,-0.00113119,-0.00124934,-0.00129412,-0.001339189,-0.001249051
430.159,-0.001089908,-0.00111425,-0.001065567,-0.001163616,-0.001208294,-0.001118939,-0.001115695,-0.001069939,-0.001161451,-0.001051614,-0.001001231,-0.001101996,-0.001120232,-0.001158424,-0.001082041,-0.001205907,-0.001271574,-0.00114024
432.196,-0.001013366,-0.001026848,-0.000999883,-0.001201078,-0.00126524,-0.001136915,-0.001142481,-0.001093683,-0.00119128,-0.001000113,-0.001022966,-0.000977259,-0.001082259,-0.001134158,-0.001030361,-0.001136542,-0.001246761,-0.001026324
